,title,company,salary,location,company_rating,description
0,Data Scientist,Federal Reserve Bank of Boston,,Remote,4.3,
1,Data Scientist (Remote),Aimpoint Digital,,"Remote in New York, NY+3 locations",,
2,Data Scientist- RAFP,Government of the District of Columbia,"$89,457 - $115,262 a year","Washington, DC 20005 (Downtown area)+1 location",3.6,
3,Data Scientist,Northwestern Medicine,,"Chicago, IL 60611 (Near North Side area)+1 location",3.9,
4,Crypto Data Scientist (Analytics),PayPal,,"New York, NY 10014 (West Village area)+10 locations",3.9,
5,Data Scientist 1,Techtronic Industries (TTI),,"Anderson, SC",3.6,
6,Data Scientist,Lime,"$98,000 a year",Remote,3.3,
7,Data Scientist,PepsiCo,,"Plano, TX+4 locations",3.8,
8,Data Scientist,BitSight,,"Remote in Boston, MA+3 locations",,
9,Data Scientist,Bunge,,"Chesterfield, MO 63017",4.1,
10,Data Scientist - Global Decision Science,Amex,,"New York, NY+4 locations",4.1,
11,Data Scientist,Neiman Marcus,,"Dallas, TX 75039",3.6,
12,Data Scientist,Petco,,"Remote in San Diego, CA+5 locations",3.3,
13,Data Scientist I (CNN +),WarnerMedia,,"New York, NY+6 locations",3.8,
14,Junior Data Scientist,ANALYTOS,,"Austin, TX",,
15,Data Science Engineer (Entry Level),Kernel,,"Culver City, CA 90232",4.0,
16,Principal Data Scientist,Verizon,"$108,000 - $200,000 a year",Remote in Colorado+18 locations,3.9,
17,"Senior Data Scientist, Recommendation",TikTok,,"Mountain View, CA 94041 (Old Mountain View area)+8 locations",3.5,
18,Machine Learning Data Scientist,Ascension,,"Hybrid remote in Chicago, IL+2 locations",3.6,
19,Data Scientist,FocusKPI Inc.,,"San Bruno, CA",,
20,"Data Scientist, Business Intelligence",Jumio Corporation,,"Remote in Palo Alto, CA+1 location",,
21,Data Scientist,"Vital Connect, Inc.",,"San Jose, CA",,
