,title,company,salary,location,company_rating,description
0,Junior Data Scientist (NYC or Remote),ViacomCBS,,"Remote in New York, NY+1 location",3.9,
1,Data Scientist,Polaris Inc.,,"Plymouth, MN+1 location",3.4,
2,"Associate Data Scientist, Content Analytics",Spotify,,Remote in Oregon+12 locations,4.3,
3,Data Scientist,Mars,,"Chicago, IL+2 locations",3.9,
4,Data Scientist- RAFP,Government of the District of Columbia,"$89,457 - $115,262 a year","Washington, DC 20005 (Downtown area)+1 location",3.6,
5,"Data Scientist, Game Analytics & Strategy",the NBA,,"New York, NY 10022 (Midtown area)+1 location",4.2,
6,Junior Data Scientist - BAM Elevate,Balyasny,,"New York, NY",4.1,
7,Data Scientist (Remote),Aimpoint Digital,,"Remote in New York, NY+3 locations",,
8,Data Scientist,Pinterest,,"Seattle, WA 98101 (Denny Triangle area)+3 locations",4.2,
9,Data Scientist,frog,,"Seattle, WA",3.4,
10,Data Scientist,The Coca-Cola Company,,"Plano, TX 75024+1 location",3.9,
11,Data Scientist,Federal Reserve Bank of Boston,,Remote,4.3,
12,Data Scientist (remote),ViacomCBS,,"Remote in New York, NY+1 location",3.9,
13,Data Science New Graduate,Hewlett Packard Enterprise,,"Durham, NC 27703",3.8,
14,Data Scientist,Wärtsilä,,"Herndon, VA",4.1,
15,"Associate Data Scientist, User Fraud",Spotify,,"Hybrid remote in New York, NY+21 locations",4.3,
16,Data Scientist,Wärtsilä,,"Herndon, VA",4.1,
17,Data Scientist,YETI Coolers,,"Austin, TX",3.6,
18,Data Scientist,ViaSat,,"Remote in Tempe, AZ+9 locations",3.7,
19,Full Stack Data Scientist - NLP,Amex,,"New York, NY+6 locations",4.1,
20,Junior Data Scientist Apprentice,IBM,,"San Jose, CA 95101 (North Valley area)+43 locations",3.9,
21,Data & Applied Scientist 2,Microsoft,,"Mountain View, CA 94043+41 locations",4.2,
22,DATA SCIENTIST,LT Technology Services,,"Houston, TX+1 location",4.0,
23,"data scientist (multiple openings) - Seattle, WA",Starbucks,,"Hybrid remote in Seattle, WA",4.0,
24,Data Scientist,The Hershey Company,,"Hershey, PA+3 locations",3.8,
25,Junior Data Scientist,GMR Marketing,,Remote,4.2,
26,Data Scientist,Northwell Health,,"Lake Success, NY+2 locations",3.9,
27,Data Scientist,JBT,,"Alpharetta, GA+1 location",3.3,
28,"Data Scientist, Product (Remote)",Drizly,"$110,500 a year","Remote in Boston, MA+1 location",3.6,
29,"Data Scientist, Junior",Booz Allen Hamilton,,"Hampton, VA+86 locations",3.9,
30,Junior Data Scientist (CortexAI),Deloitte,,"Gilbert, AZ 85297+9 locations",4.0,
31,Data Scientist,RenoFi,,Remote,,
32,Data Scientist,Red Dot Storage,,"Remote in Houston, TX",4.0,
33,Remote Data Scientist - Rockefeller Neuroscience Institute,Careers | West Virginia University,,"Remote in Morgantown, WV+2 locations",4.2,
34,Data Scientist (Multiple Levels),T. Rowe Price,,"New York, NY+1 location",3.6,
35,"Senior Data Scientist, Foundations",Tinder,,+2 locationsRemote,4.6,
36,"Data Scientist I, Product Analytics",Tinder,,"San Francisco, CA",4.6,
37,Data Scientist,Intel,,"Santa Clara, CA 95052+5 locations",4.1,
38,Sr Data Scientist,Netflix,,"Remote in Los Gatos, CA",3.9,
39,Data Scientist - Algorithm Engineer,Zynex Medical,"$90,000 - $150,000 a year","Remote in Englewood, CO",3.8,
40,Data Scientist,Corning,,"Corning, NY 14831+1 location",3.8,
41,Data Scientist,Neiman Marcus,,"Dallas, TX 75039",3.6,
42,Sr. Data Scientist,Charles Schwab,"$122,700 - $200,300 a year","Hybrid remote in Austin, TX+1 location",3.9,
43,Junior Data Scientist,PIÑATA SCIENCES,,"Boston, MA",,
44,Data Scientist - Full Time 2022,Wayfair,,"Boston, MA+72 locations",3.0,
