,IP,Port,Https
0,134.119.206.109,1080,yes
1,187.111.176.65,8080,yes
2,62.78.84.159,8080,yes
3,200.26.190.74,999,no
4,43.252.10.146,2222,no
5,103.53.76.84,8080,no
6,14.207.59.105,8080,no
7,36.94.5.154,8080,no
8,82.114.249.187,8080,no
9,186.192.251.63,8080,no
10,95.71.51.202,8080,no
11,208.52.157.22,6556,no
12,41.202.221.102,8080,no
13,27.147.209.215,8080,no
14,45.179.164.189,999,no
15,50.193.36.173,8080,no
16,194.135.45.230,41890,no
17,183.89.64.122,8080,no
18,187.44.1.172,8080,no
19,181.115.67.3,999,no
20,201.186.131.56,999,no
21,139.5.133.179,8080,no
22,14.241.225.167,443,no
23,46.10.199.90,54567,yes
24,177.87.168.97,53281,yes
25,185.94.218.57,43403,yes
26,70.44.24.245,8888,yes
27,196.0.111.194,34638,1 min ago
28,93.105.40.62,41258,1 min ago
29,86.123.166.13,8080,1 min ago
30,54.95.199.79,20004,yes
31,200.29.109.112,44749,yes
32,91.207.147.243,38472,1 min ago
33,211.118.206.225,4001,yes
34,139.255.94.123,39635,yes
35,113.177.127.167,8118,1 min ago
36,202.162.37.165,8080,1 min ago
37,80.93.212.42,3153,yes
38,80.65.28.57,30962,yes
39,94.74.132.129,808,1 min ago
40,177.73.16.74,55443,1 min ago
41,190.214.52.226,53281,1 min ago
42,37.232.183.74,53281,1 min ago
43,140.227.69.254,4321,1 min ago
44,138.204.68.42,1337,yes
45,27.76.101.181,4001,yes
46,194.233.69.41,443,1 min ago
47,186.159.3.193,56861,1 min ago
48,190.220.1.173,56974,yes
49,64.17.30.238,63141,3 mins ago
50,190.12.95.170,47029,yes
51,51.91.210.72,80,3 mins ago
52,103.149.162.194,80,3 mins ago
53,5.58.178.99,41890,yes
54,181.225.54.59,6969,no
55,177.220.188.213,8080,no
56,103.101.17.173,8080,no
57,58.186.85.95,2087,no
58,181.204.161.162,999,no
59,200.13.152.63,8080,no
60,45.15.16.185,8118,yes
61,191.242.178.209,3128,3 mins ago
62,27.111.45.18,55443,yes
63,103.231.80.242,55443,yes
64,82.202.160.205,8118,yes
65,103.73.102.174,60080,3 mins ago
66,85.25.117.134,5566,yes
67,197.157.219.169,48625,no
68,103.171.44.116,80,3 mins ago
69,143.255.52.102,31158,yes
70,100.16.88.103,8888,3 mins ago
71,109.195.23.223,34031,yes
72,212.112.113.178,3128,yes
73,45.121.216.219,55443,3 mins ago
74,185.177.125.28,8080,3 mins ago
75,41.33.47.149,1976,yes
76,85.25.108.234,5566,yes
77,5.35.14.167,8888,yes
78,176.56.107.232,32439,yes
79,200.58.100.111,80,yes
80,206.43.196.24,55443,4 mins ago
81,177.87.168.6,53281,4 mins ago
82,131.108.118.27,8080,yes
83,139.255.129.161,8080,yes
84,80.106.247.145,53410,4 mins ago
85,170.83.60.124,55443,yes
86,103.59.176.154,8080,4 mins ago
87,103.80.1.2,80,no
88,85.209.178.218,45696,4 mins ago
89,206.253.164.122,80,no
90,187.95.114.125,3128,no
91,202.6.227.174,3888,no
92,14.241.39.191,8080,no
93,103.147.43.255,8080,no
94,201.87.241.90,5555,no
95,94.75.76.10,8080,no
96,159.192.240.47,8080,no
97,36.92.75.250,8080,no
98,200.0.40.134,8080,no
99,131.161.60.1,8083,no
100,178.212.54.137,8080,no
101,103.136.82.252,83,no
102,45.183.142.117,999,no
103,138.201.108.42,3128,no
104,14.207.75.183,8080,no
105,45.183.77.250,8080,no
106,110.78.159.34,8080,no
107,45.179.164.1,999,no
108,18.207.156.228,50000,no
109,45.174.110.20,999,no
110,68.188.63.149,8080,no
111,185.217.125.46,8888,no
112,137.59.0.134,8080,no
113,43.255.165.158,84,no
114,194.36.174.185,8080,no
115,182.52.83.66,8080,no
116,45.167.72.22,8080,no
117,45.189.112.225,999,no
118,202.142.158.114,8080,no
119,118.69.176.168,8080,no
120,45.162.126.1,999,no
121,200.222.137.202,8080,no
122,105.112.248.10,8080,no
123,201.150.117.81,999,no
124,113.161.240.86,8080,no
125,185.82.99.5,9091,no
126,187.94.16.59,39665,4 mins ago
127,45.169.148.2,999,no
128,182.253.108.186,8080,no
129,202.62.60.36,41890,no
130,114.4.209.114,8080,no
131,36.66.103.211,3128,no
132,45.169.148.18,999,no
133,3.8.126.182,10022,no
134,103.80.83.150,8181,no
135,139.255.89.242,8080,no
136,45.160.78.5,999,no
137,200.101.66.170,8080,no
138,41.191.245.47,8080,no
139,208.52.137.150,5555,no
140,178.128.211.128,3128,no
141,185.12.69.174,8080,no
142,103.165.251.2,8080,no
143,200.111.182.6,443,no
144,203.150.113.207,8080,no
145,88.255.101.236,8080,no
146,180.250.252.218,8080,no
147,103.83.179.105,8181,no
148,67.205.182.196,12000,no
149,103.161.164.107,8181,no
150,183.89.48.212,18080,no
151,24.43.140.138,8080,no
152,3.145.6.91,3128,no
153,182.16.166.98,8080,no
154,190.145.0.190,999,no
155,165.16.119.177,1976,no
156,194.19.244.94,3128,no
157,46.16.78.185,80,4 mins ago
158,119.28.20.231,60080,4 mins ago
159,175.106.17.62,57406,4 mins ago
160,134.119.206.108,1080,4 mins ago
161,134.119.206.107,1080,yes
162,181.129.70.82,46752,yes
163,192.158.15.201,60684,yes
164,164.132.106.217,8087,no
165,115.42.0.186,53281,yes
166,206.253.164.198,80,no
167,43.155.92.192,59394,yes
168,20.74.169.104,8118,4 mins ago
169,176.9.75.42,8080,no
170,119.81.189.194,80,yes
171,88.198.50.103,8080,no
172,190.210.211.70,8080,yes
173,92.42.109.188,1080,4 mins ago
174,103.73.194.2,80,yes
175,139.99.237.62,80,no
176,58.84.170.244,53281,yes
177,51.195.20.36,80,yes
178,150.109.32.166,80,no
179,212.95.180.50,53281,yes
180,195.154.243.54,80,yes
181,45.6.159.235,34523,yes
182,177.129.253.133,3128,yes
183,206.253.164.120,80,no
184,206.253.164.146,80,no
185,206.253.164.101,80,no
186,206.253.164.108,80,no
187,200.116.198.137,49422,no
188,186.103.179.50,60080,yes
189,82.66.5.130,80,no
190,190.60.71.124,80,yes
191,176.9.119.170,8080,no
192,103.73.74.22,2021,10 mins ago
193,170.155.5.235,8080,yes
194,45.56.84.125,80,no
195,80.48.119.28,8080,no
196,94.130.244.179,5566,yes
197,198.27.70.228,5566,yes
198,223.255.133.34,8080,yes
199,103.12.160.85,31231,10 mins ago
200,177.184.182.247,3128,10 mins ago
201,103.148.72.192,80,no
202,103.47.217.50,54729,10 mins ago
203,205.185.122.11,80,no
204,194.5.193.183,80,no
205,181.205.41.210,7654,10 mins ago
206,191.96.42.80,8080,no
207,43.132.197.151,443,yes
208,116.80.41.12,80,yes
209,45.81.225.67,9055,10 mins ago
210,194.233.69.38,443,yes
211,161.117.87.150,80,no
212,217.170.252.154,80,no
213,34.145.237.227,80,yes
214,202.162.232.31,80,no
215,112.120.42.82,80,no
216,8.210.83.33,80,no
217,47.88.10.210,80,no
218,174.138.54.143,3128,no
219,51.159.3.223,443,11 mins ago
220,134.122.102.103,8118,yes
221,164.70.121.242,3128,yes
222,91.107.6.115,53281,yes
223,213.135.118.150,3128,yes
224,96.9.77.71,8080,yes
225,95.165.163.188,60103,yes
226,46.198.132.233,21231,11 mins ago
227,36.67.27.189,39674,yes
228,165.16.0.97,1981,yes
229,204.13.155.104,14999,yes
230,193.41.88.58,53281,yes
231,110.74.195.34,25,yes
232,116.197.130.170,8080,yes
233,195.191.246.198,53281,yes
234,103.22.172.38,59458,13 mins ago
235,34.146.157.204,9090,no
236,185.239.56.249,8083,13 mins ago
237,160.16.82.58,3128,yes
238,185.108.141.114,8080,yes
239,185.239.56.245,8083,no
240,187.62.191.3,61456,13 mins ago
241,144.76.116.242,80,no
242,103.131.61.4,80,13 mins ago
243,5.189.128.171,80,no
244,137.74.65.101,80,13 mins ago
245,157.90.222.231,8080,13 mins ago
246,157.90.251.43,80,no
247,138.36.151.19,8090,no
248,170.238.10.129,999,no
249,170.239.180.51,999,no
250,14.207.0.67,8080,no
251,90.145.29.38,8080,no
252,43.243.172.2,83,no
